Paper_ID,DOI,Role,Table_number,PDF_page,Table_types,Caption_excerpt,Caption_word_count,Source_status,Mean_or_std_signal,Best_second_best_signal
P028,10.1109/tcst.2022.3211130,A,III,15,MAIN_COMPARISON,TABLE COMPARED THE PERFORMANCE IN TERMS OF OVERALL TIME (SYNCHRONIZATION PLUS ONLINE OPTIMIZA TION TIMES ) OF THE PROPOSED,19,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P028,10.1109/tcst.2022.3211130,A,IV,15,UNCLASSIFIED,TABLE REPORTS THE OPTIMIZA TION TIMES OF THE PROPOSED DISTRIBUTED COORDINATION STRATEGY (USING ALGORITHM 2) IN AN INTERSECTION,18,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P028,10.1109/tcst.2022.3211130,A,V,16,UNCLASSIFIED,TABLE PROVIDES THE COMPUTATION TIMES OF ALGORITHM 2O BTAINED DURING THE EXPERIMENTS,12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P029,10.1109/tcst.2026.3661166,A,I,13,MAIN_COMPARISON,Comparisons of average and maximum branch-and-,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P029,10.1109/tcst.2026.3661166,A,II,13,UNCLASSIFIED,shows the average QP sub-problem solution times,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P029,10.1109/tcst.2026.3661166,A,III,13,UNCLASSIFIED,shows solution times vs. the MPC prediction,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P029,10.1109/tcst.2026.3661166,A,IV,14,UNCLASSIFIED,Effect of reachability constraints and diagonal,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P029,10.1109/tcst.2026.3661166,A,V,14,UNCLASSIFIED,Integrated stage costs for the optimal simulated,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P031,10.1109/tcst.2022.3216989,A,I,10,PARAMETERS; COMPLEXITY,PARAMETERS EMPLOYED IN THE NUMERICAL SIMULATIONS WHERE md,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P032,10.1109/tcst.2026.3659194,A,I,9,UNCLASSIFIED,TEMPORAL AND SPATIAL DISTANCES BETWEEN ROBOT PAIRS FOR TWO,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P032,10.1109/tcst.2026.3659194,A,II,9,UNCLASSIFIED,RESULTS OF AUTOMATED PACKAGE DELIVERY EXAMPLE WITH,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P032,10.1109/tcst.2026.3659194,A,III,10,MAIN_COMPARISON,RESULTS OF COMPARISON BETWEEN MRBTP AND “P RIORITIZED,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P032,10.1109/tcst.2026.3659194,A,IV,10,UNCLASSIFIED,MRBTP P ROCESSING TIME WHILE RUNNING ON INTEL NUC AND,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
